编号,区域,负载类别,设备,功率依据,插座要求,回路/安全要求,智能系统备注,责任方,状态
P2S-POWER,衣帽间/P2S 打印位,3D 打印机,"Bambu P2S；AMS；附件","按打印机和附件铭牌功率核算","打印机台面附近独立带地插座组","打印机和附件插座分开；位置干燥可检修；不接机柜 PDU/UPS","打印过程中不得用普通智能插座切断主电源",电工/业主,已规划
P2S-VENT-POWER,衣帽间/P2S 打印位,可选通风,可选局部排风或通风风机,"如安装风机则按风机铭牌功率核算","独立可检修插座或带开关电源","PLA/PETG 不强制外排；为 ABS/ASA/PC 或气味/热量处理预留通风条件","自动控制风机前必须有手动开关兜底",电工/装修队,已规划
VACUUM-CHARGE-POWER,衣帽间,吸尘器充电,吸尘器或手持清洁设备充电器,"按充电器铭牌功率核算","清洁设备收纳处附近普通带地墙插","与机柜 UPS/PDU 和 P2S 插座分开；便于插拔充电","不需要智能控制",电工/设计师/业主,已规划
STORAGE-HIGH-POWER-RESERVE,衣帽间,高功率/服务备用,"未来高功率或临时服务设备；3090 工作站仅作为未来移位候选","按未来设备铭牌功率核算","一个备用带地墙插；不接机柜 UPS/PDU","若未来真接 3090 工作站，电工需确认回路容量和通风","不接 UPS；高功率设备不得用普通智能插座切断电源",电工/设计师/业主,已规划
BATH2-WASH-POWER,次卫生间,潮湿区电器,"洗衣机；烘干机候选；水路设备候选","按实际电器铭牌功率核算","洗衣机确认位置设置符合潮湿区规范的插座","电工确认防潮、接地和漏保","仅做监测，不做不安全断电",电工/设计师,已规划
KITCHEN-WATER-POWER,厨房,厨下水路,"RO 净水；净水器；厨下设备","按实际设备铭牌功率核算","厨下可检修插座","防潮并保证橱柜安装后仍可检修","优先做漏水报警；避免隐藏不可检修智能插座",电工/设计师,已规划
BATH-POWER,主卫/次卫,卫浴,"智能马桶；镜柜；排风；传感器候选","按实际设备铭牌功率核算","按卫生间分区规范设置插座","电工确认潮湿区域、防漏电和接地","安全设备不能依赖智能系统",电工/设计师,已规划
HUM-POWER,中央加湿设备区,中央加湿,"格恩中央加湿控制器和主机","按厂家安装手册","厂家指定电源，控制器位置可检修","不得用普通智能插座切断中央加湿电源","RS-485 接入需厂家确认后再做",厂家/电工,已规划
HVAC-POWER,中央空调设备区,中央空调,"日立空调协议转换器和空调设备","按日立安装方要求","厂家指定空调电源和可检修转换器电源","空调主电源由暖通方和电工处理，不由智能插座控制","智能系统接入先从只读监测开始",日立安装方/电工,已规划
WATER-VALVE-POWER,总水阀位置,水路安全,电动总水阀候选,"按阀门和控制器铭牌功率核算","阀门附近预留电源和手动操作空间","确认断电默认状态和检修空间","只有确认手动兜底和失效状态后才允许自动控制",电工/业主,待确认
ENTRY-POWER,入户门,门口安防,"门铃；摄像头候选","PoE 优先；非 PoE 按设备铭牌功率核算","非 PoE 时明确高位/低位电源策略","需先确认物业要求和公共区域隐私边界","PoE 优先，便于统一供电管理",设计师/弱电/电工,已规划
